Question,Answer
Ki írta a 'Hamlet'-et?,William Shakespeare
"Melyik híres regény kezdődik a 'Boldog családok mind hasonlók egymáshoz, minden boldogtalan család a maga módján az.' sorral?",Anna Karenina
Ki írta a 'Don Quijote'-t?,Miguel de Cervantes
Melyik híres regény szól egy bálnavadász kapitányról?,Moby Dick
Ki írta az 'Odüsszeia'-t?,Homérosz
Melyik regényben szerepel a híres 'rózsaszín Cadillac'?,A nagy Gatsby
Ki írta a 'Száz év magány'-t?,Gabriel García Márquez
"Melyik híres regény játszódik egy sziget körül hajótörést szenvedett emberrel?",Robinson Crusoe
"Mi a címe annak a regénynek, amelyben egy árva fiú London utcáin él?",Oliver Twist
Ki írta a 'Lolita'-t?,Vladimir Nabokov
Ki írta a 'Rómeó és Júlia' című tragédiát?,William Shakespeare
Melyik híres regény szól egy párizsi toronyőr szerelméről?,A Notre Dame-i toronyőr
Ki írta a 'Bűn és bűnhődés' című regényt?,Fjodor Dosztojevszkij
Melyik híres regény játszódik egy távoli galaxisban?,Dűne
Ki írta az 'Isteni színjáték'-ot?,Dante Alighieri
Melyik regényben szerepel a híres 'Manderley' kastély?,A Manderley-ház asszonya
Ki írta a 'Szép új világ' című disztópiát?,Aldous Huxley
"Melyik híres regény szól egy varázslótanonc kalandjairól?",Harry Potter és a bölcsek köve
Ki írta a 'A Gyűrűk Ura' című fantasy regényt?,J.R.R. Tolkien
"Melyik regényben szerepel a híres 'Old Man and the Sea' karakter?",Az öreg halász és a tenger
Ki írta a 'A nagy Gatsby' című regényt?,F. Scott Fitzgerald
Melyik híres regény szól egy bálnavadász kapitány megszállottságáról?,Moby Dick
Ki írta a 'A vörös betű' című regényt?,Nathaniel Hawthorne
Melyik regény játszódik a francia forradalom idején?,Két város regénye
Ki írta a 'A Csend hangja' című művet?,H.P. Lovecraft
"Melyik regényben szerepel a híres 'Sherlock Holmes' nyomozó?",A sátán kutyája
Ki írta a 'A Hobbit' című regényt?,J.R.R. Tolkien
"Melyik híres regény szól egy árva lányról, aki egy zöld házba kerül?",Anne a Zöld Oromból
Ki írta a 'A Nap is felkel' című regényt?,Ernest Hemingway
"Melyik regényben szerepel a híres 'Holden Caulfield' karakter?",Rozsban a fogó
Ki írta a 'A herceg' című politikai értekezést?,Niccolò Machiavelli
"Melyik híres regény szól egy orvosról, aki egy pestisjárvány idején küzd?",A pestis
Ki írta a 'A Karamazov testvérek' című regényt?,Fjodor Dosztojevszkij
Melyik regény játszódik az amerikai polgárháború idején?,Elfújta a szél
Ki írta a 'A dzsungel könyve' című elbeszélésgyűjteményt?,Rudyard Kipling
"Melyik regényben szerepel a híres 'Jane Eyre' nevelőnő?",Jane Eyre
Ki írta a 'A Párhuzamosok Háza' című regényt?,John Boyne
"Melyik híres regény szól egy család életéről a kínai forradalom idején?",A sárkányszív
Ki írta a 'A nevet rózsája' című regényt?,Umberto Eco
"Melyik regényben szerepel a híres 'Don Corleone' maffiafőnök?",A Keresztapa
Ki írta a 'A kis herceg' című mesét?,Antoine de Saint-Exupéry
"Melyik híres regény szól egy fiatal lány naplójáról a második világháború idején?",Egy fiatal lány naplója
Ki írta a 'A láthatatlan ember' című sci-fi regényt?,H.G. Wells
Melyik regényben szerepel a híres 'Dracula' vámpír?,Dracula
Ki írta a 'A Canterbury mesék' című elbeszélésgyűjteményt?,Geoffrey Chaucer
"Melyik regény szól egy fiatal fiúról, aki egy varázslatos csokoládégyárba látogat?",Charlie és a csokoládégyár
Ki írta a 'A Szív szomorúsága' című regényt?,William Faulkner
Melyik híres regény játszódik az ókori Rómában?,Quo vadis
Ki írta a 'A tizedik emelet' című regényt?,Meg Cabot
"Melyik regényben szerepel a híres 'Alice' nevű lány?",Alice Csodaországban
Ki írta a 'A szigeteken át' című regényt?,Ernest Hemingway
Melyik híres regény szól egy jövőbeli társadalomról, ahol a könyvek tiltottak?,451 Fahrenheit
Ki írta a 'A velencei kalmár' című színdarabot?,William Shakespeare
"Melyik regényben szerepel a híres 'Anna Karenina' tragikus hős?",Anna Karenina
Ki írta a 'A párhuzamosok háza' című regényt?,John Boyne
"Melyik híres regény szól egy fiatal fiúról, aki egy titkos kertet fedez fel?",A titkos kert
