"Kérdés","Válasz"
"Ki volt az első ember, akit Isten teremtett?","Ádám"
"Ki volt az első nő, akit Isten teremtett?","Éva"
"Melyik gyümölcsöt nem ehette meg Ádám és Éva az Édenkertben?","A jó és rossz tudás fájának gyümölcsét"
"Ki ölte meg testvérét, Ábelt?","Kain"
"Hány napig és éjjel esett az eső az özönvíz idején?","Negyven (40) nap és negyven (40) éjjel"
"Melyik állat hozott olajágat Noé bárkájához?","Galamb"
"Ki volt az, akit Isten elhívott, hogy hagyja el hazáját, és egy nagy nemzet atyjává tegye?","Ábrahám"
"Hogyan hívták Ábrahám feleségét?","Sára"
"Ki volt az, akit Isten megkísérelte, hogy feláldozza fiát, Izsákot?","Ábrahám"
"Hogyan hívták Izsák két fiát?","Ézsau és Jákob"
"Ki volt az, aki 12 fiát alapította, akik Izrael 12 törzsének atyjai lettek?","Jákob"
"Melyik fiát adták el testvérei Egyiptomba?","József"
"Ki volt az, aki kivezette az izraelitákat Egyiptomból?","Mózes"
"Hány csapás sújtotta Egyiptomot az izraeliták szabadulása előtt?","Tíz (10)"
"Melyik tengeren kelt át Mózes vezetésével az izraelita nép száraz lábbal?","Vörös-tenger"
"Melyik hegyen kapta Mózes a Tízparancsolatot?","Sínai-hegy"
"Ki volt az, aki átvette Mózes helyét, és bevezette az izraelitákat az Ígéret Földjére?","Józsué"
"Melyik várost vették be az izraeliták a falak leomlásával?","Jerikó"
"Ki volt az az erős bíró, akinek ereje a hajában rejlett?","Sámson"
"Melyik nő árulta el Sámson erejének titkát?","Delila"
"Ki volt az első király Izraelben?","Saul"
"Ki volt az a pásztorfiú, aki legyőzte Góliátot?","Dávid"
"Ki volt Dávid utódja, aki bölcsességéről volt híres?","Salamon"
"Melyik építményt emeltette Salamon Jeruzsálemben?","A Templomot"
"Melyik próféta szállt szembe Baál prófétáival a Kármel hegyén?","Illés"
"Melyik próféta volt az, akit egy nagy hal nyelt el?","Jónás"
"Ki volt az, akit oroszlánok vermébe vetettek, de Isten megmentette?","Dániel"
"Melyik könyv meséli el Eszter királynő történetét?","Eszter könyve"
"Melyik könyv kezdődik a „Kezdetben teremté Isten az eget és a földet” szavakkal?","Teremtés könyve"
"Hány könyvből áll az Ószövetség a protestáns kánon szerint?","Harminckilenc (39)"
"Melyik városban született Jézus?","Betlehem"
"Ki volt Jézus anyja?","Mária"
"Ki volt Jézus nevelőapja?","József"
"Ki volt az a római császár, akinek idején Jézus született?","Augustus"
"Ki volt az, aki megkeresztelte Jézust a Jordán folyóban?","Keresztelő János"
"Hány napig böjtölt Jézus a pusztában, mielőtt megkezdte nyilvános szolgálatát?","Negyven (40)"
"Hány apostola volt Jézusnak?","Tizenkettő (12)"
"Ki volt az az apostol, aki tagadta Jézust háromszor?","Péter"
"Ki árulta el Jézust harminc ezüstért?","Júdás Iskáriótes"
"Melyik tanítvány volt az, akit Jézus szeretett, és aki a kereszt alatt is vele volt?","János"
"Melyik csodát tette Jézus a Kánai menyegzőn?","A vizet borrá változtatta"
"Hány kenyérrel és hallal vendégelt meg Jézus ötezer embert?","Öt kenyérrel és két hallal"
"Melyik hegyen tartotta Jézus a híres beszédét, amelyben a boldogmondásokat is elmondta?","Hegyi beszéd (gyakran a Boldogságok hegyeként emlegetik)"
"Mi volt az a példázat, amit Jézus a tékozló fiúról mondott?","A tékozló fiú példázata"
"Mi volt az a példázat, amit Jézus a jó szamaritánusról mondott?","A jó szamaritánus példázata"
"Melyik csodát tette Jézus, amikor meggyógyított egy vak embert a születésétől fogva?","A vakon született meggyógyítása"
"Ki volt az, akit Jézus feltámasztott a halálból Betániában?","Lázár"
"Melyik városba vonult be Jézus szamárháton, mielőtt elfogták?","Jeruzsálem"
"Mi volt az utolsó vacsora során Jézus által alapított szertartás?","Úrvacsora (Eucharisztia)"
"Ki volt az a római helytartó, aki elítélte Jézust kereszthalálra?","Poncius Pilátus"
"Melyik dombon feszítették keresztre Jézust?","Golgota"
"Hány nap után támadt fel Jézus a halálból?","Három (3)"
"Ki volt az első, aki látta a feltámadott Jézust a sírnál?","Mária Magdolna"
"Hány napig maradt Jézus a földön a feltámadása után, mielőtt felemelkedett a mennybe?","Negyven (40)"
"Melyik esemény történt Pünkösdkor, amikor a Szentlélek leszállt az apostolokra?","A Szentlélek kiáradása"
"Ki volt az az apostol, aki eredetileg Saulnak hívták, és keresztényüldöző volt?","Pál"
"Melyik város felé tartott Saul, amikor megjelent neki Jézus?","Damaskusz"
"Hány missziós utat tett Pál apostol a Biblia szerint?","Három (3) fő missziós út"
