Question,Answer
Melyik évtől beszélünk Erdély önálló fejedelemségként való létezéséről?,1541-től
Ki volt az első erdélyi fejedelem?,Szapolyai János Zsigmond
Melyik fejedelem nevéhez fűződik Erdély aranykora?,Bethlen Gábor
"Melyik évben kötötték a speyeri egyezményt, amely rendezte az Erdélyi Fejedelemség státuszát?",1570
"Ki volt az a fejedelem, aki rövid időre egyesítette a három román fejedelemséget Erdélyhez?",Vitéz Mihály (Mihai Viteazul)
"Melyik csatában szenvedett vereséget Vitéz Mihály Báthory András erdélyi fejedelemtől?",Sellenberk (Şelimbăr) 1599-ben
"Ki volt a 'kalapos király', aki megszüntette Erdély különállását?",II. József
"Melyik évben történt az 'unió' Erdély és Magyarország között, amely a Habsburg Birodalmon belüli egységet erősítette?",1848
"Ki volt az erdélyi magyarok vezéralakja az 1848-49-es szabadságharcban?",Bem József (Bem Apó)
Melyik történelmi eseményt követően csatolták Erdélyt Romániához?,Az első világháború és a trianoni békeszerződés
Melyik évben írták alá a trianoni békeszerződést?,1920
"Melyik évben ítélte vissza Észak-Erdélyt Magyarországnak a második bécsi döntés?",1940
Melyik évben került vissza egész Erdély Romániához a második világháború után?,1947 (a párizsi békeszerződéssel)
"Ki volt a leghíresebb erdélyi magyar költő a 20. század első felében?",Ady Endre (bár sokan magyarnak, nem csak erdélyinek tartják)
Ki írta az 'Ábel a rengetegben' című regényt?,Tamási Áron
"Melyik erdélyi város a magyar irodalom egyik fontos központja?",Kolozsvár (Cluj-Napoca)
"Ki írta az 'Egri csillagok'-at, amelyben fontos szerepet kapnak erdélyi események is?",Gárdonyi Géza
"Melyik erdélyi fejedelem volt híres a vallási türelemről?",János Zsigmond (a tordai ediktum idején)
Melyik évben hirdették ki a tordai vallásszabadságot?,1568
"Mely négy bevett felekezet volt Erdélyben történelmileg?",Katolikus, evangélikus (lutheránus), református, unitárius
Melyik a legnagyobb erdélyi magyar egyház?,A református egyház
"Hol található a legnagyobb unitárius közösség Erdélyben?",Kolozsvár környékén és Székelyföldön
Melyik a legrégebbi folyamatosan működő magyar egyetem Erdélyben?,Babeș–Bolyai Tudományegyetem magyar tagozatai (kolozsvári egyetem jogutódja)
Mi a címe Erdély legjelentősebb magyar napilapjának?,Krónika
Melyik a legfontosabb magyar tudományos egyesület Erdélyben?,Erdélyi Múzeum-Egyesület (EME)
Hol található a Sapientia Erdélyi Magyar Tudományegyetem központi campusa?,Kolozsvár (Cluj-Napoca)
Melyik erdélyi városban rendezik meg évente a Kolozsvári Magyar Napokat?,Kolozsvár (Cluj-Napoca)
Melyik a legnagyobb erdélyi magyar színház?,Kolozsvári Állami Magyar Színház
"Ki volt a 20. század egyik legnagyobb hatású erdélyi magyar rendezője?",Harag György
"Melyik erdélyi várhoz fűződik a legszebb reneszánsz kertek legendája?",Gyulafehérvár (Alba Iulia)
Melyik székelyföldi vár volt a szabadságharc egyik fontos helyszíne?,Segesvár (Sighișoara)
"Hol található a 'Vajdahunyad vára' (Castelul Corvinilor)?",Vajdahunyad (Hunedoara)
Melyik erdélyi sóbánya látogatható turistaként is?,Torda (Turda)
"Melyik a leghíresebb erdélyi székelyföldi tó, amely egy vulkáni kráterben keletkezett?",Szent Anna-tó (Lacul Sfânta Ana)
"Melyik a legmagasabb hegycsúcs a Rádnai-havasokban, amely fontos határkő volt?",Pietrosz (Pietrosul Rodnei)
Melyik folyó alakította ki a Tordai-hasadékot?,Aranyos (Arieș)
"Melyik erdélyi nagyváros a Bánát régió központja is?",Temesvár (Timișoara)
Hol található a Fekete-tengerhez legközelebbi jelentős erdélyi város?,Brassó (Brașov)
Melyik székelyföldi város a Hargita megye székhelye?,Csíkszereda (Miercurea Ciuc)
Melyik székelyföldi város a Kovászna megye székhelye?,Sepsiszentgyörgy (Sfântu Gheorghe)
Melyik székelyföldi város a Maros megye székhelye?,Marosvásárhely (Târgu Mureș)
"Melyik híres erdélyi magyar történész írta 'Az erdélyi kérdés' című művet?",Makkai László
"Ki volt az erdélyi magyarság egyik legfontosabb politikai vezetője a 20. század végén?",Markó Béla
Mi a neve az erdélyi magyarok legnagyobb politikai érdekképviseletének?,Romániai Magyar Demokrata Szövetség (RMDSZ)
Melyik évben alakult meg az RMDSZ?,1989
Mi a neve az erdélyi magyar kulturális szervezetek csúcsszervezete?,Erdélyi Magyar Közművelődési Egyesület (EMKE)
"Ki a legismertebb erdélyi magyar néprajzkutató, aki a gyimesi csángókat is kutatta?",Domokos Pál Péter
"Mi a neve annak a különleges magyar népcsoportnak, amely Moldvában él?",Csángók
Melyik erdélyi város híres a fazekasságáról?,Korond (Corund)
Mi a neve a székelyek hagyományos kapujának?,Székelykapu
Melyik az erdélyi magyar népzene egyik legismertebb stílusa?,Kalotaszegi
Melyik a legrégebbi magyar egyetem Erdélyben?,Babeș–Bolyai Tudományegyetem magyar tagozatai
Hol található a legszebbnek tartott kalotaszegi templom?,Magyargyerőmonostor (Mănăstireni)
"Mi a neve az erdélyi magyarok által használt, többnyire fából készült fedeles hídnak?",Átjáróhíd (fedeles híd)
"Melyik az a székelyföldi település, ahol évente megtartják a pünkösdi búcsút?",Csíksomlyó (Șumuleu Ciuc)
Melyik híres 19. századi magyar irodalmi mű játszódik részben Erdélyben?,Az arany ember (Jókai Mór)
"Melyik erdélyi városban született Petőfi Sándor?",Kiskőrös (Magyarországon, de élete kötődik Erdélyhez)
"Melyik erdélyi városban található a Bolyai Farkas és Bolyai János sírja?",Marosvásárhely (Târgu Mureș)
Melyik évben alapították a kolozsvári Tudományegyetemet (a mai Babeș–Bolyai jogelődjét)?,1872
"Mi a neve a kolozsvári magyar diákok hagyományos rendezvényének?",Kolozsvári Egyetemi Napok (KEN)
Melyik a legrégebbi erdélyi magyar diákszervezet?,Kolozsvári Magyar Diákszövetség (KMDSZ)
Melyik erdélyi város a magyar unitárius egyház központja?,Kolozsvár (Cluj-Napoca)
Melyik erdélyi város a magyar református egyház egyik központja (Erdélyi Református Egyházkerület székhelye)?,Kolozsvár (Cluj-Napoca)
Melyik erdélyi város a gyulafehérvári római katolikus érsekség székhelye?,Gyulafehérvár (Alba Iulia)
Melyik évben alapították a gyulafehérvári érsekséget?,1009
"Melyik híres erdélyi magyar festő nevéhez fűződik a nagybányai művésztelep alapítása?",Hollósy Simon (és társai)
Hol található a nagybányai művésztelep?,Nagybánya (Baia Mare)
"Melyik erdélyi városban született Bartók Béla?",Nagyszentmiklós (Sânnicolau Mare, ma Románia, Bánát)
Melyik évben alakult meg az EME (Erdélyi Múzeum-Egyesület)?,1859
"Mi a neve annak a székelyföldi hegyvonulatnak, amely a Keleti-Kárpátok része?",Hargita-hegység
"Melyik szoros köti össze Erdélyt a Havasalfölddel, történelmileg fontos kereskedelmi út volt?",Törcsvári-szoros (Pasul Bran)
"Hol található a Brassó melletti híres 'fekete templom'?",Brassó (Brașov)
Melyik évben épült a brassói fekete templom?,14. század vége - 15. század eleje
"Melyik erdélyi városban található a híres 'Farkas utca', ahol sok régi magyar épület áll?",Kolozsvár (Cluj-Napoca)
Melyik évben rendezték meg először a Kolozsvári Magyar Napokat?,2010
Melyik székelyföldi város híres az ásványvíz-forrásairól?,Borszék (Borsec)
Melyik évben nyílt meg a Sapientia Erdélyi Magyar Tudományegyetem?,2001
"Melyik erdélyi politikus volt Románia miniszterelnök-helyettese a 2000-es években?",Markó Béla
"Melyik évben alakult meg a Babeș–Bolyai Tudományegyetem magyar tagozata?",1959 (önálló magyar egyetem megszüntetése után)
"Mi a neve a kolozsvári magyar főkonzulátus utcájának?",Fő tér (Piața Unirii)
Melyik erdélyi város híres a Teleki Tékáról?,Marosvásárhely (Târgu Mureș)
Ki volt a Teleki Téka alapítója?,Teleki Sámuel
Melyik évben alapították a Teleki Tékát?,1802
"Melyik a legrégebbi magyar könyvtár Erdélyben?",Bethlen Gábor Kollégium könyvtára (Nagyenyed)
"Melyik erdélyi városban van a híres református kollégium, amelyet Bethlen Gábor alapított?",Nagyenyed (Aiud)
"Melyik évben pusztították el a nagyenyedi kollégiumot az 1848-49-es események során?",1849
"Ki volt a 'háromszéki Napkirály', az 1848-49-es szabadságharc egyik székely hőse?",Gábor Áron
Miről volt híres Gábor Áron a szabadságharcban?,Ágyúöntésről
Melyik csatában esett el Gábor Áron?,Kökös (Chichiș)
Melyik évben esett el Gábor Áron?,1849
"Melyik erdélyi szász város híres a középkori erődtemplomairól?",Segesvár (Sighișoara) vagy Szeben (Sibiu) vagy Brassó (Brașov)
Melyik évben volt a román parasztfelkelés Horea, Cloșca és Crișan vezetésével?,1784
"Melyik híres 20. századi erdélyi magyar író írta a 'Megyeriek' című regényt?",Wass Albert
Melyik Wass Albert regény szól a 'Farkasverem'-ről?,A funtineli boszorkány
Melyik évben volt a marosvásárhelyi Fekete Március?,1990
"Mi történt a marosvásárhelyi Fekete Március idején?",Magyarok és románok közötti etnikai összecsapások
"Ki a 20-21. század egyik legismertebb erdélyi magyar költője?",Lászlóffy Aladár vagy Kányádi Sándor
Ki írta a 'Hintó az útfélen' című verset?,Kányádi Sándor
"Melyik erdélyi magyar szociológus és politikus írta a 'Magyarország felfedezése' sorozatban 'Háromszék' kötetet?",Cseke Péter
"Mi a neve annak az erdélyi magyar néptánc együttesnek, amely nemzetközileg is ismert?",Háromszék Táncegyüttes (Sepsiszentgyörgy)
Melyik erdélyi város híres a magyar operájáról?,Kolozsvári Magyar Opera
Melyik évben alapították a kolozsvári Magyar Operát?,1948
Melyik a legrégebbi magyar nyelvű lap Erdélyben?,Romániai Magyar Szó (korábban Igaz Szó, Népújság stb. jogelődje)
"Melyik a legnagyobb erdélyi magyar fesztivál, amelyet nyáron tartanak?",EMI Tábor (Gyergyószentmiklós környékén) vagy Ünnepi Könyvhét és Kolozsvári Magyar Napok
"Mi a neve a székelyföldi borvíz (ásványvíz) forrásoknak?",Borvízforrás, csobogó
"Melyik a leghíresebb erdélyi magyar népi építkezési stílus eleme?",Székelykapu
"Melyik erdélyi magyar író nevéhez fűződik a 'prózai írás' megteremtése?",Kós Károly
Ki volt Kós Károly fő műve?,Varjú nemzetség
"Melyik erdélyi város híres a Fő téri Mátyás király szobráról?",Kolozsvár (Cluj-Napoca)
Ki készítette a kolozsvári Mátyás szobrot?,Fadrusz János
Melyik évben avatták fel a kolozsvári Mátyás szobrot?,1902
Melyik a legrégebbi épület Kolozsváron?,Szent Mihály-templom
Melyik erdélyi városban született Apáczai Csere János?,Apáca (Apața)
Mi volt Apáczai Csere János fő műve?,Magyar Enciklopédia
Melyik a legrégebbi magyar kollégium Erdélyben?,Bethlen Gábor Kollégium (Nagyenyed)
Melyik erdélyi magyar költő írta a 'Csík zenéje' című verset?,Kosztolányi Dezső
Melyik a legismertebb erdélyi magyar vicclap?,Erdélyi Híradó (történelmi)
"Mi a neve a székelyföldi, főleg fűszerekkel ízesített pálinkának?",Cseresznyepálinka (vagy más gyümölcspálinka fűszerekkel, pl. szegfűszeggel)
"Melyik híres erdélyi magyar zeneszerző dolgozott Bartókkal is?",Kodály Zoltán (bár ő is inkább magyarországi kötődésű)
"Melyik évben volt a 'Romániához való csatolás' centenáriuma, amit Erdélyben is megültek?",2018 (Gyulafehérvári Nyilatkozat 100. évfordulója)
Melyik székelyföldi város híres a Mikó-várról?,Csíkszereda (Miercurea Ciuc)
"Melyik erdélyi magyar író írta a 'Tóték' című kisregényt?",Örkény István (bár főként magyarországi író)
"Melyik évben adták át a Babeș–Bolyai Tudományegyetem új magyar főépületét Kolozsváron?",2000-es évek
