Question,Answer
Ki volt az első magyar király?,Szent István
Melyik évben volt a mohácsi csata?,1526
"Ki volt a leghíresebb magyar költő, aki a 'Nemzeti dal'-t írta?",Petőfi Sándor
Melyik folyó folyik keresztül Budapesten?,Duna
Ki volt a magyar szabadságharc vezetője 1848-ban?,Kossuth Lajos
Melyik évben történt a kiegyezés Ausztriával?,1867
"Ki volt a legendás magyar király, akinek a nevéhez fűződik a 'táltos' alakja?",Mátyás király
Melyik híres híd köti össze Budát és Pestet?,Lánchíd
Mi volt a neve az első magyar nyomtatott könyvnek?,Chronica Hungarorum
Ki alapította a Magyar Honfoglalás után a magyar államot?,Árpád fejedelem
Melyik csatában győzték le a törökök a magyarokat 1526-ban?,Mohács
Ki volt a törökellenes harcok egyik leghíresebb alakja?,Zrínyi Miklós
Melyik erdélyi fejedelem volt a leghosszabb ideig hatalmon?,Bethlen Gábor
Melyik évben történt a Rákóczi-szabadságharc kezdete?,1703
Ki volt a Rákóczi-szabadságharc vezetője?,II. Rákóczi Ferenc
Melyik béke zárta le a Rákóczi-szabadságharcot?,Szatmári béke
Melyik évben történt a szatmári béke?,1711
"Ki volt a 'legnagyobb magyar'?",Széchenyi István
Melyik évben tört ki a márciusi forradalom Pesten?,1848
Melyik híres verset szavalta el Petőfi a Nemzeti Múzeumnál?,Nemzeti dal
Ki volt a magyar kormány elnöke a szabadságharc idején?,Kossuth Lajos
Melyik csatában szenvedett döntő vereséget a magyar sereg 1849-ben?,Temesvár
Ki volt az osztrák császár, aki leverte a szabadságharcot?,Ferenc József
Melyik évben történt a kiegyezés Ausztriával?,1867
Melyik évben koronázták meg Ferenc Józsefet és Erzsébetet magyar királlyá és királynévá?,1867
Melyik volt a dualista rendszer két fővárosa?,Bécs és Budapest
Melyik évben tört ki az első világháború?,1914
Melyik békeszerződés zárta le az első világháborút Magyarország számára?,Trianoni békeszerződés
Melyik évben írták alá a trianoni békeszerződést?,1920
Mekkora területet veszített el Magyarország a trianoni békeszerződéssel?,Az ország kétharmadát
Ki volt Magyarország kormányzója a Horthy-korszakban?,Horthy Miklós
Melyik évben tört ki a második világháború?,1939
Melyik oldalon vett részt Magyarország a második világháborúban?,A tengelyhatalmak oldalán
Melyik évben szállták meg a németek Magyarországot?,1944
Ki volt a nyilasok vezetője?,Szálasi Ferenc
Melyik évben ért véget a második világháború Magyarországon?,1945
Melyik politikai rendszer alakult ki Magyarországon a második világháború után?,Kommunista
Ki volt a kommunista Magyarország első vezetője?,Rákosi Mátyás
Melyik évben tört ki az 1956-os forradalom?,1956
"Ki volt az 1956-os forradalom egyik vezetője?",Nagy Imre
Hogyan végződött az 1956-os forradalom?,A szovjet hadsereg leverte
Ki volt a Kádár-korszak vezetője?,Kádár János
Melyik évben omlott le a berlini fal?,1989
Melyik évben tartották az első szabad választásokat Magyarországon a rendszerváltás után?,1990
Ki volt az első szabadon választott magyar miniszterelnök?,Antall József
Melyik évben csatlakozott Magyarország a NATO-hoz?,1999
Melyik évben csatlakozott Magyarország az Európai Unióhoz?,2004
Ki volt az első magyar királyné?,Gizella
Melyik évben volt a tatárjárás?,1241-1242
Ki volt a tatárjárás idején a magyar király?,IV. Béla
Melyik várat védték sikeresen a magyarok a törökök ellen 1552-ben?,Eger
Ki volt az egri várkapitány?,Dobó István
Melyik évben volt a zentai csata?,1697
